,City Name,Facility cafe,Latitude,Longitude,Rating,Site Name,cafe Total Count,price_level
0,Northern Virginia Area,Cafe 28,38.96,-77.42,3.6,Center for Innovation Technology,13,NAN
1,Northern Virginia Area,Epicurean Cafe Deli,38.96,-77.42,4.6,Center for Innovation Technology,13,NAN
2,Northern Virginia Area,Fresh Start Cafe,38.96,-77.42,5,Center for Innovation Technology,13,NAN
3,Northern Virginia Area,Central Park Cafe,38.96,-77.42,4.8,Center for Innovation Technology,13,NAN
4,Northern Virginia Area,Cafe Woodland,38.96,-77.42,3.3,Center for Innovation Technology,13,NAN
5,Northern Virginia Area,Uptown@Dulles Cafe,38.96,-77.42,4.5,Center for Innovation Technology,13,NAN
6,Northern Virginia Area,Uptown Cafe,38.96,-77.42,3,Center for Innovation Technology,13,NAN
7,Northern Virginia Area,Starbucks,38.96,-77.42,3.8,Center for Innovation Technology,13,2
8,Northern Virginia Area,Tropical Smoothie Cafe,38.96,-77.42,3.8,Center for Innovation Technology,13,NAN
9,Northern Virginia Area,Starbucks,38.96,-77.42,3,Center for Innovation Technology,13,NAN
10,Northern Virginia Area,Starbucks,38.96,-77.42,4.5,Center for Innovation Technology,13,NAN
11,Northern Virginia Area,Starbucks,38.96,-77.42,4.1,Center for Innovation Technology,13,2
12,Northern Virginia Area,Uptown Cafe,38.96,-77.42,4.3,Center for Innovation Technology,13,NAN
13,Northern Virginia Area,Del Ray Café,38.84,-77.05,4.4,Crystal City and Potomac Yard,17,2
14,Northern Virginia Area,Ease Yoga & Cafe,38.84,-77.05,4.8,Crystal City and Potomac Yard,17,NAN
15,Northern Virginia Area,Cafe Manna,38.84,-77.05,3.3,Crystal City and Potomac Yard,17,NAN
16,Northern Virginia Area,Swing's Coffee,38.84,-77.05,4.6,Crystal City and Potomac Yard,17,NAN
17,Northern Virginia Area,St. Elmo's Coffee Pub,38.84,-77.05,4.2,Crystal City and Potomac Yard,17,NAN
18,Northern Virginia Area,Bon Vivant Cafe + Farm Market,38.84,-77.05,4.2,Crystal City and Potomac Yard,17,NAN
19,Northern Virginia Area,Gallery Cafe,38.84,-77.05,2.5,Crystal City and Potomac Yard,17,NAN
20,Northern Virginia Area,Sahara Cafe,38.84,-77.05,4.2,Crystal City and Potomac Yard,17,NAN
21,Northern Virginia Area,Commonwealth Joe Coffee Roasters,38.84,-77.05,4.8,Crystal City and Potomac Yard,17,2
22,Northern Virginia Area,Paramount Cafe,38.84,-77.05,4.8,Crystal City and Potomac Yard,17,NAN
23,Northern Virginia Area,Espressamente Illy,38.84,-77.05,4.2,Crystal City and Potomac Yard,17,NAN
24,Northern Virginia Area,Uptown Cafe,38.84,-77.05,4.5,Crystal City and Potomac Yard,17,NAN
25,Northern Virginia Area,Jefferson Cafe,38.84,-77.05,4.8,Crystal City and Potomac Yard,17,NAN
26,Northern Virginia Area,Buzz Bakeshop,38.84,-77.05,4.2,Crystal City and Potomac Yard,17,1
27,Northern Virginia Area,Au Bon Pain,38.84,-77.05,3.3,Crystal City and Potomac Yard,17,2
28,Northern Virginia Area,Green Beans Coffee,38.84,-77.05,2.2,Crystal City and Potomac Yard,17,NAN
29,Northern Virginia Area,Espresso Bar,38.84,-77.05,NAN,Crystal City and Potomac Yard,17,NAN
30,Washington DC,Pineapple and Pearls,38.86,-77.01,4.8,Nationals Park/ D.C United Stadium,14,1
31,Washington DC,Martin's Cafe,38.86,-77.01,3.4,Nationals Park/ D.C United Stadium,14,NAN
32,Washington DC,Philz Coffee,38.86,-77.01,4.7,Nationals Park/ D.C United Stadium,14,1
33,Washington DC,The Velo Cafe,38.86,-77.01,4.7,Nationals Park/ D.C United Stadium,14,NAN
34,Washington DC,Starbucks,38.86,-77.01,3.3,Nationals Park/ D.C United Stadium,14,2
35,Washington DC,William III,38.86,-77.01,4,Nationals Park/ D.C United Stadium,14,NAN
36,Washington DC,Lot 38 espresso bar,38.86,-77.01,4.6,Nationals Park/ D.C United Stadium,14,1
37,Washington DC,Starbucks,38.86,-77.01,1,Nationals Park/ D.C United Stadium,14,2
38,Washington DC,Caseys Coffee,38.86,-77.01,3,Nationals Park/ D.C United Stadium,14,NAN
39,Washington DC,Capital Cafe II,38.86,-77.01,4,Nationals Park/ D.C United Stadium,14,NAN
40,Washington DC,Grand Deli & Cafe,38.86,-77.01,4.5,Nationals Park/ D.C United Stadium,14,NAN
41,Washington DC,Cafe Twelve,38.86,-77.01,4.2,Nationals Park/ D.C United Stadium,14,NAN
42,Washington DC,Cafe 59,38.86,-77.01,3.1,Nationals Park/ D.C United Stadium,14,NAN
43,Washington DC,Au Bon Pain,38.86,-77.01,3.1,Nationals Park/ D.C United Stadium,14,2
44,Washington DC,Big Bear Cafe,38.89,-77,4.2,Union Station,20,1
45,Washington DC,Pavilion Café,38.89,-77,3.8,Union Station,20,2
46,Washington DC,Tortilla Cafe,38.89,-77,4.5,Union Station,20,1
47,Washington DC,El Rinconcito Cafe,38.89,-77,4.5,Union Station,20,NAN
48,Washington DC,Mezzanine Cafe,38.89,-77,3,Union Station,20,1
49,Washington DC,Dirty South Deli Cafe,38.89,-77,4.3,Union Station,20,NAN
50,Washington DC,Atrium Cafe DC,38.89,-77,3.6,Union Station,20,NAN
51,Washington DC,Courtyard Cafe,38.89,-77,3.8,Union Station,20,NAN
52,Washington DC,Castle Café,38.89,-77,2.5,Union Station,20,NAN
53,Washington DC,Compass Coffee,38.89,-77,4.5,Union Station,20,1
54,Washington DC,Uptown Cafe,38.89,-77,4.2,Union Station,20,NAN
55,Washington DC,Compass Coffee,38.89,-77,4.6,Union Station,20,1
56,Washington DC,Cosmo Cafe,38.89,-77,3.1,Union Station,20,NAN
57,Washington DC,Cafe Berlin,38.89,-77,4.3,Union Station,20,2
58,Washington DC,Le Bon Café,38.89,-77,4.2,Union Station,20,2
59,Washington DC,Atrium Cafe,38.89,-77,4.3,Union Station,20,2
60,Washington DC,First Cup Cafe,38.89,-77,3.5,Union Station,20,NAN
61,Washington DC,Jacob's Coffee House,38.89,-77,4.5,Union Station,20,NAN
62,Washington DC,West Wing Cafe,38.89,-77,4.2,Union Station,20,NAN
63,Washington DC,New World Cafe,38.89,-77,3.7,Union Station,20,NAN
64,Washington DC,Tortilla Cafe,38.88,-76.97,4.5,Hill-East Neighborhood,13,1
65,Washington DC,Jacob's Coffee House,38.88,-76.97,4.5,Hill-East Neighborhood,13,NAN
66,Washington DC,Pineapple and Pearls,38.88,-76.97,4.8,Hill-East Neighborhood,13,1
67,Washington DC,Bourbon Coffee,38.88,-76.97,4.4,Hill-East Neighborhood,13,NAN
68,Washington DC,Peregrine Espresso,38.88,-76.97,4.5,Hill-East Neighborhood,13,1
69,Washington DC,Port City Java,38.88,-76.97,3.9,Hill-East Neighborhood,13,NAN
70,Washington DC,William III,38.88,-76.97,4,Hill-East Neighborhood,13,NAN
71,Washington DC,The Wydown at the Apollo,38.88,-76.97,4.8,Hill-East Neighborhood,13,1
72,Washington DC,Starbucks,38.88,-76.97,2.7,Hill-East Neighborhood,13,2
73,Washington DC,Starbucks,38.88,-76.97,4,Hill-East Neighborhood,13,2
74,Washington DC,Sidamo Coffee & Tea,38.88,-76.97,4.5,Hill-East Neighborhood,13,NAN
75,Washington DC,Cafe Berlin,38.88,-76.97,4.3,Hill-East Neighborhood,13,2
76,Washington DC,Philz Coffee,38.88,-76.97,4.7,Hill-East Neighborhood,13,1
77,Washington DC,Big Bear Cafe,38.91,-77.02,4.2,Shaw-Howard University Area,20,1
78,Washington DC,Kramerbooks & Afterwords Cafe,38.91,-77.02,4.4,Shaw-Howard University Area,20,2
79,Washington DC,Pavilion Café,38.91,-77.02,3.8,Shaw-Howard University Area,20,2
80,Washington DC,Songbyrd Record Cafe and Music House,38.91,-77.02,4.4,Shaw-Howard University Area,20,1
81,Washington DC,Sankofa Video Books & Cafe,38.91,-77.02,4.8,Shaw-Howard University Area,20,1
82,Washington DC,Sweet Home Cafe,38.91,-77.02,3.2,Shaw-Howard University Area,20,2
83,Washington DC,Calabash Teahouse & Cafe,38.91,-77.02,4.9,Shaw-Howard University Area,20,1
84,Washington DC,Courtyard Cafe,38.91,-77.02,3.8,Shaw-Howard University Area,20,NAN
85,Washington DC,Love 'n Faith Community Cafe,38.91,-77.02,4.6,Shaw-Howard University Area,20,1
86,Washington DC,Timgad Café,38.91,-77.02,4.5,Shaw-Howard University Area,20,NAN
87,Washington DC,Café Dupont,38.91,-77.02,3.7,Shaw-Howard University Area,20,2
88,Washington DC,Dirty South Deli Cafe,38.91,-77.02,4.3,Shaw-Howard University Area,20,NAN
89,Washington DC,El Rinconcito Cafe,38.91,-77.02,4.5,Shaw-Howard University Area,20,NAN
90,Washington DC,The GreenBee Cafe,38.91,-77.02,4.7,Shaw-Howard University Area,20,NAN
91,Washington DC,Compass Coffee,38.91,-77.02,4.6,Shaw-Howard University Area,20,1
92,Washington DC,Steam Cafe & Pizzeria,38.91,-77.02,4,Shaw-Howard University Area,20,2
93,Washington DC,Compass Coffee,38.91,-77.02,4.5,Shaw-Howard University Area,20,1
94,Washington DC,Cornerstone Cafe,38.91,-77.02,4.5,Shaw-Howard University Area,20,NAN
95,Washington DC,Metro Cafe,38.91,-77.02,5,Shaw-Howard University Area,20,NAN
96,Washington DC,The Coffee Bar,38.91,-77.02,4.5,Shaw-Howard University Area,20,NAN
97,Los Angeles,GASOLINA cafe,34.1802,-118.6028,4.6,Warner Center West San Fernando Valley,18,1
98,Los Angeles,NM Cafe,34.1802,-118.6028,5,Warner Center West San Fernando Valley,18,2
99,Los Angeles,Pascal Patisserie & Cafe,34.1802,-118.6028,4.6,Warner Center West San Fernando Valley,18,NAN
100,Los Angeles,Nat's Coffee Shop,34.1802,-118.6028,4.5,Warner Center West San Fernando Valley,18,NAN
101,Los Angeles,Bobby's Coffee Shop,34.1802,-118.6028,4.5,Warner Center West San Fernando Valley,18,1
102,Los Angeles,Peet's Coffee,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,18,NAN
103,Los Angeles,The Baker Bakery & Cafe,34.1802,-118.6028,4.2,Warner Center West San Fernando Valley,18,NAN
104,Los Angeles,Bean Cafe,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,18,NAN
105,Los Angeles,The Coffee Bean & Tea Leaf,34.1802,-118.6028,4.6,Warner Center West San Fernando Valley,18,2
106,Los Angeles,Peet's Coffee,34.1802,-118.6028,3.9,Warner Center West San Fernando Valley,18,1
107,Los Angeles,The Coffee Bean & Tea Leaf,34.1802,-118.6028,4.5,Warner Center West San Fernando Valley,18,1
108,Los Angeles,The Coffee Bean & Tea Leaf,34.1802,-118.6028,4.5,Warner Center West San Fernando Valley,18,2
109,Los Angeles,The Coffee Bean & Tea Leaf,34.1802,-118.6028,3.9,Warner Center West San Fernando Valley,18,2
110,Los Angeles,Saigon Sandwiches & Coffee,34.1802,-118.6028,4.1,Warner Center West San Fernando Valley,18,NAN
111,Los Angeles,Square Bar Cafe,34.1802,-118.6028,4.1,Warner Center West San Fernando Valley,18,NAN
112,Los Angeles,Allegro Coffee Company,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,18,NAN
113,Los Angeles,Breakroom Juice Bar & Cafe,34.1802,-118.6028,5,Warner Center West San Fernando Valley,18,NAN
114,Los Angeles,Sara J Pastries & Cakes,34.1802,-118.6028,4.4,Warner Center West San Fernando Valley,18,NAN
115,Los Angeles,Eat Real Cafe #2,34.4318,-118.5584,4.6,New Hall Ranch Santa Clarita Valley,19,NAN
116,Los Angeles,The Original Saugus Cafe,34.4318,-118.5584,4.1,New Hall Ranch Santa Clarita Valley,19,NAN
117,Los Angeles,Mimi's Cafe,34.4318,-118.5584,4.1,New Hall Ranch Santa Clarita Valley,19,2
