,City Name,Facility doctor,Latitude,Longitude,Rating,Site Name,doctor Total Count
0,Northern Virginia Area,"Dr. Ravi Iyer, M.D.",38.96,-77.42,5,Center for Innovation Technology,1
1,Washington DC,Anderson Ronald L MD,38.86,-77.01,3.6,Nationals Park/ D.C United Stadium,1
2,Washington DC,Dr. Zeba Shaheen Geloo MD,38.89,-77,1,Union Station,3
3,Washington DC,Washington Primary Care Physicians,38.89,-77,2,Union Station,3
4,Washington DC,Anderson Ronald L MD,38.89,-77,3.6,Union Station,3
5,Washington DC,Anderson Ronald L MD,38.88,-76.97,3.6,Hill-East Neighborhood,2
6,Washington DC,Dr. Zeba Shaheen Geloo MD,38.88,-76.97,1,Hill-East Neighborhood,2
7,Washington DC,Dr. Theresa A. Stone MD,38.91,-77.02,NAN,Shaw-Howard University Area,7
8,Washington DC,Dr. David C. Johnson MD,38.91,-77.02,NAN,Shaw-Howard University Area,7
9,Washington DC,Dr. Seema Pai,38.91,-77.02,5,Shaw-Howard University Area,7
10,Washington DC,Eye Doctors of Washington DC: Schwartz Terry L MD,38.91,-77.02,NAN,Shaw-Howard University Area,7
11,Washington DC,"Dr. Gary W. Thompson, MD",38.91,-77.02,5,Shaw-Howard University Area,7
12,Washington DC,Dr. Jennifer L. Ellis MD,38.91,-77.02,5,Shaw-Howard University Area,7
13,Washington DC,"Dr. Natalie A. Earl, MD",38.91,-77.02,3.7,Shaw-Howard University Area,7
14,Los Angeles,Total Herbal Consultation,34.1802,-118.6028,3,Warner Center West San Fernando Valley,7
15,Los Angeles,"Patrick D. Keating, MD",34.1802,-118.6028,3.7,Warner Center West San Fernando Valley,7
16,Los Angeles,Ophthalmology Associates: Kramar Mark H MD,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,7
17,Los Angeles,"Dr. Hessam Aazami, MD",34.1802,-118.6028,4.1,Warner Center West San Fernando Valley,7
18,Los Angeles,"Dr. Ian H. Taras, MD",34.1802,-118.6028,5,Warner Center West San Fernando Valley,7
19,Los Angeles,"Gary C. Bellman, M.D., Urology",34.1802,-118.6028,4.7,Warner Center West San Fernando Valley,7
20,Los Angeles,Lawrence Stein Inc,34.1802,-118.6028,3.7,Warner Center West San Fernando Valley,7
21,Los Angeles,Bonita OB/GYN: Cropper Stephanie J MD,34.0885,-117.7702,3.6,Pomona Fairplex,3
22,Los Angeles,Wong King MD,34.0885,-117.7702,4.4,Pomona Fairplex,3
23,Los Angeles,"Dr. Azhar Majeed, M.D., FACP / Inland Internists",34.0885,-117.7702,5,Pomona Fairplex,3
