,City Name,Facility fire_station,Latitude,Longitude,Rating,Site Name,fire_station Total Count
0,Northern Virginia Area,Metropolitan Washington Airports Authority Fire Station 303,38.96,-77.42,NAN,Center for Innovation Technology,2
1,Northern Virginia Area,Frying Pan Fire Station # 36,38.96,-77.42,4.6,Center for Innovation Technology,2
2,Northern Virginia Area,Arlington County Fire Station 5,38.84,-77.05,5,Crystal City and Potomac Yard,6
3,Northern Virginia Area,Fire Station 209,38.84,-77.05,NAN,Crystal City and Potomac Yard,6
4,Northern Virginia Area,Alexandria Fire Station,38.84,-77.05,5,Crystal City and Potomac Yard,6
5,Northern Virginia Area,Station 203,38.84,-77.05,5,Crystal City and Potomac Yard,6
6,Northern Virginia Area,Fire Station 301 DCA ARFF,38.84,-77.05,NAN,Crystal City and Potomac Yard,6
7,Northern Virginia Area,Alexandria Fire Station 204,38.84,-77.05,4.2,Crystal City and Potomac Yard,6
8,Washington DC,Washington DC Fire & EMS Station,38.86,-77.01,3.5,Nationals Park/ D.C United Stadium,7
9,Washington DC,Washington DC Fire & EMS Station,38.86,-77.01,5,Nationals Park/ D.C United Stadium,7
10,Washington DC,Washington DC Fire & EMS Station,38.86,-77.01,5,Nationals Park/ D.C United Stadium,7
11,Washington DC,Washington DC Fire & EMS Station,38.86,-77.01,NAN,Nationals Park/ D.C United Stadium,7
12,Washington DC,Washington DC Fleet Maintenance Division,38.86,-77.01,NAN,Nationals Park/ D.C United Stadium,7
13,Washington DC,Washington DC Fire & EMS Station,38.86,-77.01,4,Nationals Park/ D.C United Stadium,7
14,Washington DC,"Engine 13, Truck 10",38.86,-77.01,5,Nationals Park/ D.C United Stadium,7
15,Washington DC,Washington DC Fire & EMS Station,38.89,-77,3.5,Union Station,13
16,Washington DC,Washington DC Fire & EMS Station,38.89,-77,4,Union Station,13
17,Washington DC,Washington DC Fire & EMS Station,38.89,-77,5,Union Station,13
18,Washington DC,Washington DC Fire & EMS Station,38.89,-77,NAN,Union Station,13
19,Washington DC,Washington DC Fire & EMS Station,38.89,-77,5,Union Station,13
20,Washington DC,Washington DC Fire & EMS Station,38.89,-77,5,Union Station,13
21,Washington DC,Washington DC Fire & EMS Station,38.89,-77,2,Union Station,13
22,Washington DC,Washington DC Fire & EMS Station,38.89,-77,5,Union Station,13
23,Washington DC,"Engine 10, Truck 13",38.89,-77,3.7,Union Station,13
24,Washington DC,"Engine 13, Truck 10",38.89,-77,5,Union Station,13
25,Washington DC,Washington Fire Department-Payroll,38.89,-77,NAN,Union Station,13
26,Washington DC,Washington DC Fleet Maintenance Division,38.89,-77,NAN,Union Station,13
27,Washington DC,Washington DC Fire & EMS Station,38.89,-77,5,Union Station,13
28,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,4,Hill-East Neighborhood,7
29,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,5,Hill-East Neighborhood,7
30,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,NAN,Hill-East Neighborhood,7
31,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,5,Hill-East Neighborhood,7
32,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,2,Hill-East Neighborhood,7
33,Washington DC,Washington DC Fire & EMS Station,38.88,-76.97,4.8,Hill-East Neighborhood,7
34,Washington DC,"Engine 10, Truck 13",38.88,-76.97,3.7,Hill-East Neighborhood,7
35,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,3.7,Shaw-Howard University Area,16
36,Washington DC,Washington DC Fire & EMS: Homeland Security Special Operations,38.91,-77.02,NAN,Shaw-Howard University Area,16
37,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,4,Shaw-Howard University Area,16
38,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,5,Shaw-Howard University Area,16
39,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,NAN,Shaw-Howard University Area,16
40,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,5,Shaw-Howard University Area,16
41,Washington DC,DC Fire & Emergency Med Services,38.91,-77.02,3,Shaw-Howard University Area,16
42,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,3.3,Shaw-Howard University Area,16
43,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,5,Shaw-Howard University Area,16
44,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,3,Shaw-Howard University Area,16
45,Washington DC,Washington DC Fire & EMS Engine 12,38.91,-77.02,NAN,Shaw-Howard University Area,16
46,Washington DC,Washington DC Fire & EMS Station,38.91,-77.02,5,Shaw-Howard University Area,16
47,Washington DC,Fire Department Headquarters,38.91,-77.02,NAN,Shaw-Howard University Area,16
48,Washington DC,Washington Fire-Public Info,38.91,-77.02,NAN,Shaw-Howard University Area,16
49,Washington DC,Washington Fire Department-Payroll,38.91,-77.02,NAN,Shaw-Howard University Area,16
50,Washington DC,Fire and EMS Department,38.91,-77.02,5,Shaw-Howard University Area,16
51,Los Angeles,Los Angeles Fire Dept. Station 105,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,4
52,Los Angeles,Los Angeles Fire Department Station 84,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,4
53,Los Angeles,Los Angeles Fire Dept. Station 72,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,4
54,Los Angeles,Accu Fire Protection,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,4
55,Los Angeles,Los Angeles County Fire Station 111,34.4318,-118.5584,5,New Hall Ranch Santa Clarita Valley,4
