,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
0,Northern Virginia Area,Gold's Gym,38.96,-77.42,2.7,Center for Innovation Technology,3
1,Northern Virginia Area,UFC Gym Reston/Herndon,38.96,-77.42,5,Center for Innovation Technology,3
2,Northern Virginia Area,Worldgate Sport&Health,38.96,-77.42,4,Center for Innovation Technology,3
3,Northern Virginia Area,Gold's Gym,38.84,-77.05,3.4,Crystal City and Potomac Yard,8
4,Northern Virginia Area,LA Fitness,38.84,-77.05,3.1,Crystal City and Potomac Yard,8
5,Northern Virginia Area,Orangetheory Fitness,38.84,-77.05,5,Crystal City and Potomac Yard,8
6,Northern Virginia Area,Earth Treks,38.84,-77.05,4.8,Crystal City and Potomac Yard,8
7,Northern Virginia Area,Foundation Fitness of Alexandria,38.84,-77.05,5,Crystal City and Potomac Yard,8
8,Northern Virginia Area,Crystal Park Sport&Health,38.84,-77.05,4.7,Crystal City and Potomac Yard,8
9,Northern Virginia Area,CrossFit South Arlington,38.84,-77.05,4.6,Crystal City and Potomac Yard,8
10,Northern Virginia Area,F45 Training - Pentagon Row,38.84,-77.05,4.9,Crystal City and Potomac Yard,8
11,Washington DC,Headbangers Boxing Gym,38.86,-77.01,4.8,Nationals Park/ D.C United Stadium,8
12,Washington DC,VIDA Fitness The Yards,38.86,-77.01,4.4,Nationals Park/ D.C United Stadium,8
13,Washington DC,District CrossFit,38.86,-77.01,5,Nationals Park/ D.C United Stadium,8
14,Washington DC,Orangetheory Fitness,38.86,-77.01,4.5,Nationals Park/ D.C United Stadium,8
15,Washington DC,Fitness Center I,38.86,-77.01,4,Nationals Park/ D.C United Stadium,8
16,Washington DC,Atlas Fitness,38.86,-77.01,4.8,Nationals Park/ D.C United Stadium,8
17,Washington DC,Washington Navy Yard Fitness Center,38.86,-77.01,4.1,Nationals Park/ D.C United Stadium,8
18,Washington DC,Capitol Hill Sport&Health,38.86,-77.01,4.6,Nationals Park/ D.C United Stadium,8
19,Washington DC,Gold's Gym,38.89,-77,4.1,Union Station,19
20,Washington DC,Headbangers Boxing Gym,38.89,-77,4.8,Union Station,19
21,Washington DC,Balance Gym,38.89,-77,4.3,Union Station,19
22,Washington DC,Crunch - Metro Center,38.89,-77,4.4,Union Station,19
23,Washington DC,VIDA Fitness The Yards,38.89,-77,4.4,Union Station,19
24,Washington DC,VIDA Fitness Gallery Place,38.89,-77,4.2,Union Station,19
25,Washington DC,VIDA Fitness Renaissance and Aura Spa,38.89,-77,4.7,Union Station,19
26,Washington DC,District CrossFit,38.89,-77,5,Union Station,19
27,Washington DC,Model Secondary School Gym,38.89,-77,NAN,Union Station,19
28,Washington DC,Orangetheory Fitness,38.89,-77,4.7,Union Station,19
29,Washington DC,CrossFit DC Northeast,38.89,-77,4.9,Union Station,19
30,Washington DC,Orangetheory Fitness,38.89,-77,4.5,Union Station,19
31,Washington DC,Primal Fitness,38.89,-77,4.6,Union Station,19
32,Washington DC,American Parkour,38.89,-77,4.1,Union Station,19
33,Washington DC,VIDA Fitness City Vista,38.89,-77,4,Union Station,19
34,Washington DC,Total Source Fitness,38.89,-77,4.5,Union Station,19
35,Washington DC,NUBOXX,38.89,-77,4.1,Union Station,19
36,Washington DC,Capitol Hill Sport&Health,38.89,-77,4.6,Union Station,19
37,Washington DC,Balance Gym,38.89,-77,4.6,Union Station,19
38,Washington DC,Headbangers Boxing Gym,38.88,-76.97,4.8,Hill-East Neighborhood,4
39,Washington DC,CrossFit DC Northeast,38.88,-76.97,4.9,Hill-East Neighborhood,4
40,Washington DC,Atlas Fitness,38.88,-76.97,4.8,Hill-East Neighborhood,4
41,Washington DC,VIDA Fitness The Yards,38.88,-76.97,4.4,Hill-East Neighborhood,4
