,City Name,Facility parking,Latitude,Longitude,Rating,Site Name,parking Total Count
0,Northern Virginia Area,Green Lot,38.96,-77.42,4,Center for Innovation Technology,9
1,Northern Virginia Area,Colonial Parking,38.96,-77.42,3,Center for Innovation Technology,9
2,Northern Virginia Area,Camden Dulles Station Building I - Parking Garage,38.96,-77.42,5,Center for Innovation Technology,9
3,Northern Virginia Area,IAD Parking Garage 1,38.96,-77.42,3.8,Center for Innovation Technology,9
4,Northern Virginia Area,IAD North Employee Parking Lot,38.96,-77.42,5,Center for Innovation Technology,9
5,Northern Virginia Area,2214 Rock Hill Rd Parking,38.96,-77.42,NAN,Center for Innovation Technology,9
6,Northern Virginia Area,Kohl's / Washington Dulles Int'l Airport Parking,38.96,-77.42,NAN,Center for Innovation Technology,9
7,Northern Virginia Area,23050 Pacific Blvd Parking,38.96,-77.42,5,Center for Innovation Technology,9
8,Northern Virginia Area,2300 Dulles Corner Blvd Parking,38.96,-77.42,NAN,Center for Innovation Technology,9
9,Northern Virginia Area,Colonial Parking,38.84,-77.05,1,Crystal City and Potomac Yard,16
10,Northern Virginia Area,Lot 607 - The Buchanan,38.84,-77.05,1,Crystal City and Potomac Yard,16
11,Northern Virginia Area,Colonial Parking,38.84,-77.05,NAN,Crystal City and Potomac Yard,16
12,Northern Virginia Area,Parking Management Inc,38.84,-77.05,3,Crystal City and Potomac Yard,16
13,Northern Virginia Area,Colonial Parking,38.84,-77.05,1,Crystal City and Potomac Yard,16
14,Northern Virginia Area,Parking Management Incorporated,38.84,-77.05,2.2,Crystal City and Potomac Yard,16
15,Northern Virginia Area,Colonial Parking,38.84,-77.05,4.5,Crystal City and Potomac Yard,16
16,Northern Virginia Area,DCA Terminal Parking Garage B/C,38.84,-77.05,4.1,Crystal City and Potomac Yard,16
17,Northern Virginia Area,Presidential Towers,38.84,-77.05,NAN,Crystal City and Potomac Yard,16
18,Northern Virginia Area,New TNC parking lot,38.84,-77.05,4,Crystal City and Potomac Yard,16
19,Northern Virginia Area,Colonial Parking,38.84,-77.05,3,Crystal City and Potomac Yard,16
20,Northern Virginia Area,North Airport Services Parking Lot K,38.84,-77.05,NAN,Crystal City and Potomac Yard,16
21,Northern Virginia Area,Crystal Parking,38.84,-77.05,4.5,Crystal City and Potomac Yard,16
22,Northern Virginia Area,Embassy Suites,38.84,-77.05,NAN,Crystal City and Potomac Yard,16
23,Northern Virginia Area,Fashion Centre at Pentagon City Parking Garage,38.84,-77.05,3.9,Crystal City and Potomac Yard,16
24,Northern Virginia Area,Towne Park,38.84,-77.05,5,Crystal City and Potomac Yard,16
25,Los Angeles,Hines,34.1802,-118.6028,1,Warner Center West San Fernando Valley,12
26,Los Angeles,6210 CANOGA,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
27,Los Angeles,Warner Atrium,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
28,Los Angeles,Woodland Hills Corporate Center,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
29,Los Angeles,Topanga Warner FinancialCenter,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
30,Los Angeles,Farmers Plaza,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
31,Los Angeles,Proper Parking,34.1802,-118.6028,5,Warner Center West San Fernando Valley,12
32,Los Angeles,Warner Corporate Center,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
33,Los Angeles,Woodcourt I,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,12
