,City Name,Facility restaurant,Latitude,Longitude,Rating,Site Name,price_level,restaurant Total Count
0,Northern Virginia Area,NED DEVINE'S IRISH SPORTS BAR & RESTAURANT,38.96,-77.42,3.7,Center for Innovation Technology,2,20
1,Northern Virginia Area,Anatolian Bistro Turkish Restaurant,38.96,-77.42,4.8,Center for Innovation Technology,NAN,20
2,Northern Virginia Area,China King Restaurant,38.96,-77.42,3.2,Center for Innovation Technology,2,20
3,Northern Virginia Area,Houlihan's,38.96,-77.42,3.4,Center for Innovation Technology,NAN,20
4,Northern Virginia Area,Elements On Level One,38.96,-77.42,3.2,Center for Innovation Technology,NAN,20
5,Northern Virginia Area,Carrabba's Italian Grill,38.96,-77.42,2.2,Center for Innovation Technology,NAN,20
6,Northern Virginia Area,Moe's Southwest Grill,38.96,-77.42,3.8,Center for Innovation Technology,1,20
7,Northern Virginia Area,SUBWAY®Restaurants,38.96,-77.42,3.7,Center for Innovation Technology,1,20
8,Northern Virginia Area,SUBWAY®Restaurants,38.96,-77.42,3.9,Center for Innovation Technology,1,20
9,Northern Virginia Area,SUBWAY®Restaurants,38.96,-77.42,3.7,Center for Innovation Technology,1,20
10,Northern Virginia Area,Chipotle Mexican Grill,38.96,-77.42,3.8,Center for Innovation Technology,1,20
11,Northern Virginia Area,Au Bon Pain,38.96,-77.42,4.3,Center for Innovation Technology,1,20
12,Northern Virginia Area,Smashburger,38.96,-77.42,3.3,Center for Innovation Technology,1,20
13,Northern Virginia Area,Bar Louie,38.96,-77.42,4.1,Center for Innovation Technology,NAN,20
14,Northern Virginia Area,TGI Fridays,38.96,-77.42,3,Center for Innovation Technology,2,20
15,Northern Virginia Area,Cracker Barrel Old Country Store,38.96,-77.42,4.1,Center for Innovation Technology,1,20
16,Northern Virginia Area,Noodles and Company,38.96,-77.42,3.8,Center for Innovation Technology,2,20
17,Northern Virginia Area,Wendy's,38.96,-77.42,3.7,Center for Innovation Technology,1,20
18,Northern Virginia Area,Chao Phra YA Thai,38.96,-77.42,4.5,Center for Innovation Technology,2,20
19,Northern Virginia Area,Chuck E. Cheese's,38.96,-77.42,3.8,Center for Innovation Technology,2,20
20,Northern Virginia Area,Fyve Restaurant Lounge,38.84,-77.05,4.6,Crystal City and Potomac Yard,3,20
21,Northern Virginia Area,Portofino Restaurant,38.84,-77.05,4.1,Crystal City and Potomac Yard,2,20
22,Northern Virginia Area,Young Chow Restaurant,38.84,-77.05,3,Crystal City and Potomac Yard,2,20
23,Northern Virginia Area,Live Oak Restaurant,38.84,-77.05,4.4,Crystal City and Potomac Yard,2,20
24,Northern Virginia Area,RT's Restaurant,38.84,-77.05,4.5,Crystal City and Potomac Yard,2,20
