,City Name,Facility supermarket,Latitude,Longitude,Rating,Site Name,supermarket Total Count
0,Northern Virginia Area,Fresh World Herndon,38.96,-77.42,4.2,Center for Innovation Technology,4
1,Northern Virginia Area,Harris Teeter,38.96,-77.42,4.4,Center for Innovation Technology,4
2,Northern Virginia Area,Shoppers,38.96,-77.42,3.6,Center for Innovation Technology,4
3,Northern Virginia Area,Asian Halal Meat,38.96,-77.42,4,Center for Innovation Technology,4
4,Northern Virginia Area,ALDI,38.84,-77.05,4.5,Crystal City and Potomac Yard,6
5,Northern Virginia Area,Shoppers,38.84,-77.05,4.3,Crystal City and Potomac Yard,6
6,Northern Virginia Area,Harris Teeter,38.84,-77.05,4.3,Crystal City and Potomac Yard,6
7,Northern Virginia Area,Whole Foods Market,38.84,-77.05,4.4,Crystal City and Potomac Yard,6
8,Northern Virginia Area,Food Star,38.84,-77.05,4,Crystal City and Potomac Yard,6
9,Northern Virginia Area,Harris Teeter,38.84,-77.05,4.2,Crystal City and Potomac Yard,6
10,Washington DC,Harris Teeter,38.86,-77.01,4.2,Nationals Park/ D.C United Stadium,2
11,Washington DC,Harris Teeter,38.86,-77.01,4,Nationals Park/ D.C United Stadium,2
12,Washington DC,Capitol Hill Supermarket,38.89,-77,4.1,Union Station,7
13,Washington DC,Capitol Supermarket,38.89,-77,3.9,Union Station,7
14,Washington DC,Compact Supermarket,38.89,-77,2.3,Union Station,7
15,Washington DC,Harris Teeter,38.89,-77,4.2,Union Station,7
16,Washington DC,ALDI,38.89,-77,4.4,Union Station,7
17,Washington DC,Harris Teeter,38.89,-77,4.1,Union Station,7
18,Washington DC,Harris Teeter,38.89,-77,4,Union Station,7
19,Washington DC,ALDI,38.88,-76.97,4.4,Hill-East Neighborhood,4
20,Washington DC,Whole Foods Market,38.88,-76.97,4.5,Hill-East Neighborhood,4
21,Washington DC,Harris Teeter,38.88,-76.97,4,Hill-East Neighborhood,4
22,Washington DC,Harris Teeter,38.88,-76.97,4.2,Hill-East Neighborhood,4
23,Washington DC,Capitol Hill Supermarket,38.91,-77.02,4.1,Shaw-Howard University Area,11
24,Washington DC,Capitol Supermarket,38.91,-77.02,3.9,Shaw-Howard University Area,11
25,Washington DC,Metro Supermarket,38.91,-77.02,3.5,Shaw-Howard University Area,11
26,Washington DC,BestWorld Supermarket,38.91,-77.02,4.1,Shaw-Howard University Area,11
27,Washington DC,Metro K Supermarket,38.91,-77.02,3.4,Shaw-Howard University Area,11
28,Washington DC,Harris Teeter,38.91,-77.02,4.3,Shaw-Howard University Area,11
29,Washington DC,Whole Foods Market,38.91,-77.02,4,Shaw-Howard University Area,11
30,Washington DC,Whole Foods Market,38.91,-77.02,4.3,Shaw-Howard University Area,11
31,Washington DC,Save-A-Lot,38.91,-77.02,3.9,Shaw-Howard University Area,11
32,Washington DC,Trader Joe's,38.91,-77.02,4.5,Shaw-Howard University Area,11
33,Washington DC,Harris Teeter,38.91,-77.02,4.1,Shaw-Howard University Area,11
34,Los Angeles,Vallarta Supermarkets,34.1802,-118.6028,3.4,Warner Center West San Fernando Valley,3
35,Los Angeles,Trader Joe's,34.1802,-118.6028,4.6,Warner Center West San Fernando Valley,3
36,Los Angeles,Trader Joe's,34.1802,-118.6028,4.8,Warner Center West San Fernando Valley,3
37,Los Angeles,Whole Foods Market,34.4318,-118.5584,4.3,New Hall Ranch Santa Clarita Valley,3
38,Los Angeles,Valley Marketplace Valencia,34.4318,-118.5584,4.4,New Hall Ranch Santa Clarita Valley,3
39,Los Angeles,Trader Joe's,34.4318,-118.5584,4.6,New Hall Ranch Santa Clarita Valley,3
40,Los Angeles,Superior Grocers,34.0885,-117.7702,4,Pomona Fairplex,4
41,Los Angeles,ALDI,34.0885,-117.7702,4.5,Pomona Fairplex,4
42,Los Angeles,Stater Bros. Markets,34.0885,-117.7702,4.1,Pomona Fairplex,4
43,Los Angeles,Stater Bros. Markets,34.0885,-117.7702,4.4,Pomona Fairplex,4
44,Boston,C-Mart Supermarket,42.34,-71.03,4,South Boston Waterfront,4
45,Boston,Roche Bros. Downtown Crossing,42.34,-71.03,4.3,South Boston Waterfront,4
46,Boston,Euromart,42.34,-71.03,4.7,South Boston Waterfront,4
47,Boston,Whole Foods Market,42.34,-71.03,4.5,South Boston Waterfront,4
48,Boston,Ming's Supermarket,42.35,-71.05,4.2,Downtown,7
49,Boston,C-Mart Supermarket,42.35,-71.05,4,Downtown,7
50,Boston,C-Mart Supermarket,42.35,-71.05,3.8,Downtown,7
51,Boston,Roche Bros. Downtown Crossing,42.35,-71.05,4.3,Downtown,7
52,Boston,Whole Foods Market,42.35,-71.05,4.5,Downtown,7
53,Boston,Jacqueline Grocery Store,42.35,-71.05,4.3,Downtown,7
54,Boston,Tropical Foods,42.35,-71.05,4.2,Downtown,7
55,Boston,Ming's Supermarket,42.34,-71.06,4.2,South End,11
56,Boston,Brothers Supermarket,42.34,-71.06,4.1,South End,11
57,Boston,C-Mart Supermarket,42.34,-71.06,4,South End,11
58,Boston,C-Mart Supermarket,42.34,-71.06,3.8,South End,11
59,Boston,Roche Bros. Downtown Crossing,42.34,-71.06,4.3,South End,11
60,Boston,Whole Foods Market,42.34,-71.06,4.5,South End,11
61,Boston,Whole Foods Market,42.34,-71.06,4.3,South End,11
62,Boston,Trader Joe's,42.34,-71.06,4.4,South End,11
63,Boston,Save-A-Lot,42.34,-71.06,4.1,South End,11
64,Boston,Tropical Foods,42.34,-71.06,4.2,South End,11
65,Boston,Foodie's Markets,42.34,-71.06,4.1,South End,11
66,New York,Morton Williams,40.75,-74,3.8,Hudson Yards,17
67,New York,Morton Williams Supermarkets,40.75,-74,3.7,Hudson Yards,17
68,New York,Morton Williams Supermarkets,40.75,-74,3.6,Hudson Yards,17
69,New York,Western Beef,40.75,-74,3,Hudson Yards,17
70,New York,D'Agostino,40.75,-74,3.2,Hudson Yards,17
71,New York,D'agostino,40.75,-74,3.1,Hudson Yards,17
72,New York,D'Agostino,40.75,-74,3.5,Hudson Yards,17
73,New York,D'Agostino,40.75,-74,3.4,Hudson Yards,17
74,New York,Morton Williams,40.75,-74,3.3,Hudson Yards,17
75,New York,Morton Williams,40.75,-74,4.4,Hudson Yards,17
76,New York,Kings Food Markets,40.75,-74,3.8,Hudson Yards,17
77,New York,Kings Food Markets,40.75,-74,3.7,Hudson Yards,17
78,New York,Whole Foods Market,40.75,-74,4.2,Hudson Yards,17
79,New York,Whole Foods Market,40.75,-74,4.1,Hudson Yards,17
80,New York,Trader Joe's,40.75,-74,4.6,Hudson Yards,17
81,New York,Morton Williams Supermarkets,40.75,-74,3.9,Hudson Yards,17
82,New York,Western Beef Supermarket,40.75,-74,2.8,Hudson Yards,17
83,New York,Morton Williams Supermarkets,40.74,-73.94,3.9,Long Island City,10
