,Latitude,Longitude,Name,Rating,Site Name,count of
0,38.96,-77.42,Reston Hospital Center,3.3,Center for Innovation Technology,4
1,38.96,-77.42,National Association of Urban Hospital,NAN,Center for Innovation Technology,4
2,38.96,-77.42,Farrell Pediatrics,3.5,Center for Innovation Technology,4
3,38.96,-77.42,Watson Salsbury Pediatrics,NAN,Center for Innovation Technology,4
4,38.84,-77.05,George Washington University Hospital,2.9,Crystal City and Potomac Yard,12
5,38.84,-77.05,Virginia Hospital Center,3.7,Crystal City and Potomac Yard,12
6,38.84,-77.05,Unity Health Care,4,Crystal City and Potomac Yard,12
7,38.84,-77.05,Fresenius Medical Care,NAN,Crystal City and Potomac Yard,12
8,38.84,-77.05,BridgePoint Hospital Capitol Hill,2.7,Crystal City and Potomac Yard,12
9,38.84,-77.05,Georgetown University Hospital,NAN,Crystal City and Potomac Yard,12
10,38.84,-77.05,Bridgepoint Hospital National Harbor,3.1,Crystal City and Potomac Yard,12
11,38.84,-77.05,St. Elizabeths Hospital,4.1,Crystal City and Potomac Yard,12
12,38.84,-77.05,Inova Alexandria Hospital,3.2,Crystal City and Potomac Yard,12
13,38.84,-77.05,United Medical Center,1.4,Crystal City and Potomac Yard,12
14,38.84,-77.05,Magellan Health Services,NAN,Crystal City and Potomac Yard,12
15,38.84,-77.05,MedStar Washington Hospital Center,NAN,Crystal City and Potomac Yard,12
16,38.86,-77.01,George Washington University Hospital,2.9,Nationals Park/ D.C United Stadium,16
17,38.86,-77.01,MedStar Washington Hospital Center,3.2,Nationals Park/ D.C United Stadium,16
18,38.86,-77.01,Howard University Hospital,2.7,Nationals Park/ D.C United Stadium,16
19,38.86,-77.01,UM Prince George's Hospital Center,2.2,Nationals Park/ D.C United Stadium,16
20,38.86,-77.01,Georgetown University Hospital Rad,NAN,Nationals Park/ D.C United Stadium,16
21,38.86,-77.01,Unity Health Care,4,Nationals Park/ D.C United Stadium,16
22,38.86,-77.01,Fresenius Medical Care,NAN,Nationals Park/ D.C United Stadium,16
23,38.86,-77.01,BridgePoint Hospital Capitol Hill,2.7,Nationals Park/ D.C United Stadium,16
24,38.86,-77.01,Georgetown University Hospital,NAN,Nationals Park/ D.C United Stadium,16
25,38.86,-77.01,Bridgepoint Hospital National Harbor,3.1,Nationals Park/ D.C United Stadium,16
26,38.86,-77.01,St. Elizabeths Hospital,4.1,Nationals Park/ D.C United Stadium,16
27,38.86,-77.01,Children's National Medical Center,3.9,Nationals Park/ D.C United Stadium,16
28,38.86,-77.01,Washington DC VA Medical Center,3.3,Nationals Park/ D.C United Stadium,16
29,38.86,-77.01,V-A CRRC,4,Nationals Park/ D.C United Stadium,16
30,38.86,-77.01,United Medical Center,1.4,Nationals Park/ D.C United Stadium,16
31,38.86,-77.01,Magellan Health Services,NAN,Nationals Park/ D.C United Stadium,16
32,38.89,-77,George Washington University Hospital,2.9,Union Station,19
33,38.89,-77,MedStar Washington Hospital Center,3.2,Union Station,19
34,38.89,-77,Howard University Hospital,2.7,Union Station,19
35,38.89,-77,UM Prince George's Hospital Center,2.2,Union Station,19
36,38.89,-77,Providence Hospital,2.6,Union Station,19
37,38.89,-77,Georgetown University Hospital Rad,NAN,Union Station,19
38,38.89,-77,Soldiers Home,5,Union Station,19
39,38.89,-77,Unity Health Care,4,Union Station,19
40,38.89,-77,Fresenius Medical Care,NAN,Union Station,19
41,38.89,-77,BridgePoint Hospital Capitol Hill,2.7,Union Station,19
42,38.89,-77,Georgetown University Hospital,NAN,Union Station,19
43,38.89,-77,Bridgepoint Hospital National Harbor,3.1,Union Station,19
44,38.89,-77,St. Elizabeths Hospital,4.1,Union Station,19
45,38.89,-77,Children's National Medical Center,3.9,Union Station,19
46,38.89,-77,Washington DC VA Medical Center,3.3,Union Station,19
47,38.89,-77,V-A CRRC,4,Union Station,19
48,38.89,-77,United Medical Center,1.4,Union Station,19
49,38.89,-77,Magellan Health Services,NAN,Union Station,19
50,38.89,-77,Physician Hospitals of America,NAN,Union Station,19
51,38.88,-76.97,George Washington University Hospital,2.9,Hill-East Neighborhood,17
52,38.88,-76.97,MedStar Washington Hospital Center,3.2,Hill-East Neighborhood,17
53,38.88,-76.97,Howard University Hospital,2.7,Hill-East Neighborhood,17
54,38.88,-76.97,UM Prince George's Hospital Center,2.2,Hill-East Neighborhood,17
55,38.88,-76.97,Providence Hospital,2.6,Hill-East Neighborhood,17
56,38.88,-76.97,Soldiers Home,5,Hill-East Neighborhood,17
57,38.88,-76.97,Unity Health Care,4,Hill-East Neighborhood,17
58,38.88,-76.97,Fresenius Medical Care,NAN,Hill-East Neighborhood,17
59,38.88,-76.97,BridgePoint Hospital Capitol Hill,2.7,Hill-East Neighborhood,17
60,38.88,-76.97,Bridgepoint Hospital National Harbor,3.1,Hill-East Neighborhood,17
61,38.88,-76.97,St. Elizabeths Hospital,4.1,Hill-East Neighborhood,17
62,38.88,-76.97,Children's National Medical Center,3.9,Hill-East Neighborhood,17
