,Latitude,Longitude,Number of schools,Rating,Schools,Site Name
0,38.96,-77.42,12,5,College Entertainment Network,Center for Innovation Technology
1,38.96,-77.42,12,3.9,Northern Virginia Community College - Loudoun Campus,Center for Innovation Technology
2,38.96,-77.42,12,NAN,"Waddell Building, NVCC Loudoun Campus",Center for Innovation Technology
3,38.96,-77.42,12,NAN,"Higher Education Center, NVCC Loudoun Campus",Center for Innovation Technology
4,38.96,-77.42,12,4.6,Northern Virginia Community College - Reston Center,Center for Innovation Technology
5,38.96,-77.42,12,NAN,College Admission Agency,Center for Innovation Technology
6,38.96,-77.42,12,2.4,NOVA Workforce - Signal Hill,Center for Innovation Technology
7,38.96,-77.42,12,NAN,Veterans Affairs Admissions,Center for Innovation Technology
8,38.96,-77.42,12,3,George Mason University Executive Programs,Center for Innovation Technology
9,38.96,-77.42,12,NAN,Superior Aircraft Services,Center for Innovation Technology
10,38.96,-77.42,12,NAN,Eagle Ridge Middle School,Center for Innovation Technology
11,38.96,-77.42,12,NAN,Certified Project Managers LLC,Center for Innovation Technology
12,38.84,-77.05,20,NAN,American College of Surgeons,Crystal City and Potomac Yard
13,38.84,-77.05,20,4.6,Colegio Interamericano de Defensa / Inter-American Defense College,Crystal City and Potomac Yard
14,38.84,-77.05,20,5,National Bible College and Seminary,Crystal City and Potomac Yard
15,38.84,-77.05,20,NAN,Va Tech College-Architecture,Crystal City and Potomac Yard
16,38.84,-77.05,20,NAN,Independent Colleges Office,Crystal City and Potomac Yard
17,38.84,-77.05,20,NAN,American College of Greece,Crystal City and Potomac Yard
18,38.84,-77.05,20,4.7,Association of American Medical Colleges,Crystal City and Potomac Yard
19,38.84,-77.05,20,1,Excelsior College,Crystal City and Potomac Yard
20,38.84,-77.05,20,NAN,Palmer College Of Chiropractic,Crystal City and Potomac Yard
21,38.84,-77.05,20,NAN,"College of Energy, Environment & Sustainability - CEES",Crystal City and Potomac Yard
22,38.84,-77.05,20,NAN,Columbian College of Arts & Sciences,Crystal City and Potomac Yard
23,38.84,-77.05,20,NAN,"Indiana Chapter, American College of Cardiology",Crystal City and Potomac Yard
24,38.84,-77.05,20,3.9,Strayer University,Crystal City and Potomac Yard
25,38.84,-77.05,20,NAN,The College for Public Leadership,Crystal City and Potomac Yard
26,38.84,-77.05,20,3,Georgetown College,Crystal City and Potomac Yard
27,38.84,-77.05,20,NAN,American University of Beirut Government Affairs,Crystal City and Potomac Yard
28,38.84,-77.05,20,4.1,UDC Community College,Crystal City and Potomac Yard
29,38.84,-77.05,20,3.8,Corcoran School of the Arts & Design GW,Crystal City and Potomac Yard
30,38.84,-77.05,20,2.3,Northern Virginia Community,Crystal City and Potomac Yard
31,38.84,-77.05,20,NAN,Institute For European-Russian,Crystal City and Potomac Yard
32,38.86,-77.01,20,NAN,American College of Surgeons,Nationals Park/ D.C United Stadium
33,38.86,-77.01,20,4.9,Howard University College of Medicine,Nationals Park/ D.C United Stadium
34,38.86,-77.01,20,4.6,Colegio Interamericano de Defensa / Inter-American Defense College,Nationals Park/ D.C United Stadium
35,38.86,-77.01,20,5,National Bible College and Seminary,Nationals Park/ D.C United Stadium
