,Latitude,Longitude,Number of schools,Rating,Schools,Site Name
0,38.96,-77.42,20,4.7,Loudoun School for the Gifted,Center for Innovation Technology
1,38.96,-77.42,20,3.2,Herndon High School,Center for Innovation Technology
2,38.96,-77.42,20,4.6,Fairfax Christian School,Center for Innovation Technology
3,38.96,-77.42,20,3.4,Broad Run High School,Center for Innovation Technology
4,38.96,-77.42,20,4.2,Rock Ridge High School,Center for Innovation Technology
5,38.96,-77.42,20,4.8,Newton School,Center for Innovation Technology
6,38.96,-77.42,20,4.7,Discovery Elementary School,Center for Innovation Technology
7,38.96,-77.42,20,3.7,National Association-Secondary School,Center for Innovation Technology
8,38.96,-77.42,20,5,The Merit School of Broadlands,Center for Innovation Technology
9,38.96,-77.42,20,3.3,Community Montessori School,Center for Innovation Technology
10,38.96,-77.42,20,NAN,Primrose School of Reston,Center for Innovation Technology
11,38.96,-77.42,20,3.8,Dranesville Elementary School,Center for Innovation Technology
12,38.96,-77.42,20,NAN,MTO Shahmaghsoudi School of Islamic Sufism,Center for Innovation Technology
13,38.96,-77.42,20,4.6,Lopez Studios Inc. Performing Arts Preparatory School,Center for Innovation Technology
14,38.96,-77.42,20,4.4,Tom Dolan Swim School,Center for Innovation Technology
15,38.96,-77.42,20,4.5,Potomac Swim School,Center for Innovation Technology
16,38.96,-77.42,20,2.3,Seneca Ridge Middle School,Center for Innovation Technology
17,38.96,-77.42,20,4.2,Forest Grove Elementary School,Center for Innovation Technology
18,38.96,-77.42,20,4.3,Montessori School of Fairfax,Center for Innovation Technology
19,38.96,-77.42,20,5,The Madame Curie School,Center for Innovation Technology
20,38.84,-77.05,20,4.4,Georgetown University School of Medicine,Crystal City and Potomac Yard
21,38.84,-77.05,20,4.3,Georgetown University School of Continuing Studies,Crystal City and Potomac Yard
22,38.84,-77.05,20,4.7,Elliott School of International Affairs,Crystal City and Potomac Yard
23,38.84,-77.05,20,4.2,School of Nursing & Health Studies,Crystal City and Potomac Yard
24,38.84,-77.05,20,4.6,Milken Institute School of Public Health,Crystal City and Potomac Yard
25,38.84,-77.05,20,4.4,Kimball Elementary School,Crystal City and Potomac Yard
26,38.84,-77.05,20,3.8,Yorktown High School,Crystal City and Potomac Yard
27,38.84,-77.05,20,3.6,Maya Angelou French Immersion School,Crystal City and Potomac Yard
28,38.84,-77.05,20,4.4,Burgundy Farm Country Day School,Crystal City and Potomac Yard
29,38.84,-77.05,20,5,Bishop John T. Walker School for Boys,Crystal City and Potomac Yard
30,38.84,-77.05,20,3.9,T.C. Williams High School,Crystal City and Potomac Yard
31,38.84,-77.05,20,NAN,Healthy Schools Network,Crystal City and Potomac Yard
32,38.84,-77.05,20,4.2,Washington School for Girls,Crystal City and Potomac Yard
33,38.84,-77.05,20,4.4,Georgetown University McDonough School of Business,Crystal City and Potomac Yard
34,38.84,-77.05,20,4.6,George Mason University Antonin Scalia Law School,Crystal City and Potomac Yard
35,38.84,-77.05,20,4.7,The George Washington University School of Business,Crystal City and Potomac Yard
36,38.84,-77.05,20,4.3,Metta Montessori School,Crystal City and Potomac Yard
37,38.84,-77.05,20,NAN,Imagine Hope Community Chartered School,Crystal City and Potomac Yard
38,38.84,-77.05,20,3.8,Kramer Middle School,Crystal City and Potomac Yard
39,38.84,-77.05,20,NAN,Langston High School,Crystal City and Potomac Yard
40,38.86,-77.01,20,4.4,Georgetown University School of Medicine,Nationals Park/ D.C United Stadium
41,38.86,-77.01,20,4.3,Georgetown University School of Continuing Studies,Nationals Park/ D.C United Stadium
42,38.86,-77.01,20,4.7,Elliott School of International Affairs,Nationals Park/ D.C United Stadium
43,38.86,-77.01,20,4.2,School of Nursing & Health Studies,Nationals Park/ D.C United Stadium
44,38.86,-77.01,20,4.4,Kimball Elementary School,Nationals Park/ D.C United Stadium
45,38.86,-77.01,20,4.6,Milken Institute School of Public Health,Nationals Park/ D.C United Stadium
46,38.86,-77.01,20,3.5,Sousa Middle School,Nationals Park/ D.C United Stadium
47,38.86,-77.01,20,3.5,Burrville Elementary School,Nationals Park/ D.C United Stadium
48,38.86,-77.01,20,3.6,Maya Angelou French Immersion School,Nationals Park/ D.C United Stadium
49,38.86,-77.01,20,NAN,"Middle School Building, Washington International School",Nationals Park/ D.C United Stadium
50,38.86,-77.01,20,5,Bishop John T. Walker School for Boys,Nationals Park/ D.C United Stadium
51,38.86,-77.01,20,5,Blessed Sacrament School,Nationals Park/ D.C United Stadium
52,38.86,-77.01,20,NAN,Howard University Medical School Parking Lot,Nationals Park/ D.C United Stadium
53,38.86,-77.01,20,NAN,Healthy Schools Network,Nationals Park/ D.C United Stadium
54,38.86,-77.01,20,4.2,Washington School for Girls,Nationals Park/ D.C United Stadium
55,38.86,-77.01,20,4.4,Georgetown University McDonough School of Business,Nationals Park/ D.C United Stadium
56,38.86,-77.01,20,4.6,George Mason University Antonin Scalia Law School,Nationals Park/ D.C United Stadium
57,38.86,-77.01,20,4.7,The George Washington University School of Business,Nationals Park/ D.C United Stadium
58,38.86,-77.01,20,4.3,Metta Montessori School,Nationals Park/ D.C United Stadium
59,38.86,-77.01,20,NAN,Imagine Hope Community Chartered School,Nationals Park/ D.C United Stadium
60,38.89,-77,20,4.3,Georgetown University School of Continuing Studies,Union Station
61,38.89,-77,20,3.9,National Cathedral School,Union Station
62,38.89,-77,20,4.7,Elliott School of International Affairs,Union Station
63,38.89,-77,20,4.2,School of Nursing & Health Studies,Union Station
64,38.89,-77,20,4.4,St. Albans School,Union Station
65,38.89,-77,20,4.4,Georgetown University School of Medicine,Union Station
66,38.89,-77,20,5,Washington International School: Primary School,Union Station
67,38.89,-77,20,4,Suitland High School Annex,Union Station
68,38.89,-77,20,4.4,The Lab School of Washington,Union Station
69,38.89,-77,20,4.4,Kimball Elementary School,Union Station
70,38.89,-77,20,4.6,Milken Institute School of Public Health,Union Station
71,38.89,-77,20,NAN,Bishop Mc Namara High School,Union Station
72,38.89,-77,20,NAN,"Ward Hall, Benjamin T. Rome School of Music, Catholic University of America",Union Station
73,38.89,-77,20,3.6,Maya Angelou French Immersion School,Union Station
74,38.89,-77,20,NAN,"Middle School Building, Washington International School",Union Station
75,38.89,-77,20,5,Bishop John T. Walker School for Boys,Union Station
76,38.89,-77,20,4.7,Next Step Public Charter School,Union Station
77,38.89,-77,20,NAN,Howard University Medical School Parking Lot,Union Station
78,38.89,-77,20,NAN,Healthy Schools Network,Union Station
79,38.89,-77,20,4.2,Washington School for Girls,Union Station
80,38.88,-76.97,20,4.5,Bishop McNamara High School,Hill-East Neighborhood
81,38.88,-76.97,20,4.3,Georgetown University School of Continuing Studies,Hill-East Neighborhood
82,38.88,-76.97,20,4.7,Elliott School of International Affairs,Hill-East Neighborhood
83,38.88,-76.97,20,4.6,Milken Institute School of Public Health,Hill-East Neighborhood
84,38.88,-76.97,20,NAN,Benjamin T. Rome School of Music,Hill-East Neighborhood
85,38.88,-76.97,20,4,Suitland High School Annex,Hill-East Neighborhood
86,38.88,-76.97,20,3.7,Thomas Claggett Elementary School,Hill-East Neighborhood
87,38.88,-76.97,20,4.4,Kimball Elementary School,Hill-East Neighborhood
88,38.88,-76.97,20,NAN,Bishop Mc Namara High School,Hill-East Neighborhood
89,38.88,-76.97,20,4.4,Elizabeth Seton High School,Hill-East Neighborhood
90,38.88,-76.97,20,3.6,Maya Angelou French Immersion School,Hill-East Neighborhood
91,38.88,-76.97,20,NAN,"Middle School Building, Washington International School",Hill-East Neighborhood
92,38.88,-76.97,20,5,Bishop John T. Walker School for Boys,Hill-East Neighborhood
93,38.88,-76.97,20,4.7,Next Step Public Charter School,Hill-East Neighborhood
94,38.88,-76.97,20,NAN,Howard University Medical School Parking Lot,Hill-East Neighborhood
95,38.88,-76.97,20,NAN,Healthy Schools Network,Hill-East Neighborhood
96,38.88,-76.97,20,4.2,Washington School for Girls,Hill-East Neighborhood
97,38.88,-76.97,20,NAN,Avalon Elementary School,Hill-East Neighborhood
98,38.88,-76.97,20,4,Columbus School of Law The Catholic University of America,Hill-East Neighborhood
99,38.88,-76.97,20,4.7,The George Washington University School of Business,Hill-East Neighborhood
100,38.91,-77.02,20,4.3,Georgetown University School of Continuing Studies,Shaw-Howard University Area
101,38.91,-77.02,20,4.4,St John's College High School,Shaw-Howard University Area
102,38.91,-77.02,20,3.9,National Cathedral School,Shaw-Howard University Area
103,38.91,-77.02,20,4.7,Elliott School of International Affairs,Shaw-Howard University Area
104,38.91,-77.02,20,4.8,American University School of Communication,Shaw-Howard University Area
105,38.91,-77.02,20,4.4,St. Albans School,Shaw-Howard University Area
106,38.91,-77.02,20,4.4,Georgetown University School of Medicine,Shaw-Howard University Area
107,38.91,-77.02,20,4.4,The Lab School of Washington,Shaw-Howard University Area
108,38.91,-77.02,20,4.4,Kimball Elementary School,Shaw-Howard University Area
109,38.91,-77.02,20,4.6,Milken Institute School of Public Health,Shaw-Howard University Area
110,38.91,-77.02,20,3.8,Coolidge High School,Shaw-Howard University Area
111,38.91,-77.02,20,NAN,"Ward Hall, Benjamin T. Rome School of Music, Catholic University of America",Shaw-Howard University Area
112,38.91,-77.02,20,NAN,"Middle School Building, Washington International School",Shaw-Howard University Area
113,38.91,-77.02,20,3.5,Imagine Hope Community Charter School - Lamond Campus,Shaw-Howard University Area
114,38.91,-77.02,20,4.7,Next Step Public Charter School,Shaw-Howard University Area
115,38.91,-77.02,20,NAN,Howard University Medical School Parking Lot,Shaw-Howard University Area
116,38.91,-77.02,20,NAN,Healthy Schools Network,Shaw-Howard University Area
117,38.91,-77.02,20,4.2,Washington School for Girls,Shaw-Howard University Area
118,38.91,-77.02,20,4.4,Georgetown University McDonough School of Business,Shaw-Howard University Area
119,38.91,-77.02,20,4.5,Military Road School,Shaw-Howard University Area
120,34.1802,-118.6028,20,4.4,Chaminade College Preparatory High School,Warner Center West San Fernando Valley
121,34.1802,-118.6028,20,3.7,El Camino Real Charter High School,Warner Center West San Fernando Valley
122,34.1802,-118.6028,20,3.9,Taft Charter High School,Warner Center West San Fernando Valley
123,34.1802,-118.6028,20,3.4,Calabasas High School,Warner Center West San Fernando Valley
124,34.1802,-118.6028,20,3.1,Ivy Academia Entrepreneurial Charter School - High School Campus,Warner Center West San Fernando Valley
125,34.1802,-118.6028,20,4.4,Crespi Carmelite High School,Warner Center West San Fernando Valley
126,34.1802,-118.6028,20,4.7,St. Bernardine of Siena School,Warner Center West San Fernando Valley
127,34.1802,-118.6028,20,4.8,Greene Gables Pre-School and Elementary School,Warner Center West San Fernando Valley
