,Amazon City,City,Site Name,Airport,Airport Rating
0,Atlanta,Atlanta,Downtown Atlanta,Atlanta Regional Airport - Falcon Field,4.4
2,Atlanta,Atlanta,Downtown Atlanta,Cobb County International Airport,4.4
3,Atlanta,Atlanta,Downtown Atlanta,Fulton County Airport-Brown Field,4.8
4,Atlanta,Atlanta,Downtown Atlanta,Gwinnett County Airport (LZU),4.4
6,Atlanta,Atlanta,Downtown Atlanta,Hartsfield-Jackson Atlanta International Airport,3.9
10,Atlanta,Atlanta,Downtown Atlanta,Peachtree Dekalb Airport,4.3
12,Atlanta,Atlanta,Former GM plant,Cherokee County Airport,5.0
13,Atlanta,Atlanta,Former GM plant,Cobb County International Airport,4.4
14,Atlanta,Atlanta,Former GM plant,Fulton County Airport-Brown Field,4.8
16,Atlanta,Atlanta,Former GM plant,Gwinnett County Airport (LZU),4.4
18,Atlanta,Atlanta,Former GM plant,Hartsfield-Jackson Atlanta International Airport,3.9
22,Atlanta,Atlanta,Former GM plant,Peachtree Dekalb Airport,4.3
23,Atlanta,Atlanta,Midtown,Malvern Municipal Airport,4.0
24,Atlanta,Atlanta,Midtown,Memorial Field Airport,4.3
26,Atlanta,Atlanta,The High Street Site,Cartersville Airport,5.0
27,Atlanta,Atlanta,The High Street Site,Cherokee County Airport,5.0
28,Atlanta,Atlanta,The High Street Site,Cobb County International Airport,4.4
29,Atlanta,Atlanta,The High Street Site,Fulton County Airport-Brown Field,4.8
30,Atlanta,Atlanta,The High Street Site,Gwinnett County Airport (LZU),4.4
32,Atlanta,Atlanta,The High Street Site,Hartsfield-Jackson Atlanta International Airport,3.9
36,Atlanta,Atlanta,The High Street Site,Peachtree Dekalb Airport,4.3
38,Austin,Austin,American-Statesman ,Austin Executive Airport,4.6
40,Austin,Austin,American-Statesman ,Austin-Bergstrom International Airport,4.0
41,Austin,Austin,American-Statesman ,Breakaway Airport,4.3
42,Austin,Austin,American-Statesman ,Bud Dryden Airport,5.0
43,Austin,Austin,American-Statesman ,Georgetown Municipal Airport,4.2
46,Austin,Austin,American-Statesman ,San Marcos Regional Airport,4.4
47,Austin,Austin,American-Statesman ,Spicewood Airport,5.0
48,Austin,Austin,American-Statesman ,Taylor Municipal Airport-T74,2.0
50,Austin,Austin,Bardmoor Campus,Austin Executive Airport,4.6
52,Austin,Austin,Bardmoor Campus,Austin-Bergstrom International Airport,4.0
53,Austin,Austin,Bardmoor Campus,Breakaway Airport,4.3
54,Austin,Austin,Bardmoor Campus,Bud Dryden Airport,5.0
55,Austin,Austin,Bardmoor Campus,Georgetown Municipal Airport,4.2
58,Austin,Austin,Bardmoor Campus,Spicewood Airport,5.0
59,Austin,Austin,Bardmoor Campus,Taylor Municipal Airport-T74,2.0
62,Austin,Austin,Eightfold,Austin Executive Airport,4.6
64,Austin,Austin,Eightfold,Austin-Bergstrom International Airport,4.0
65,Austin,Austin,Eightfold,Breakaway Airport,4.3
66,Austin,Austin,Eightfold,Bud Dryden Airport,5.0
67,Austin,Austin,Eightfold,Georgetown Municipal Airport,4.2
70,Austin,Austin,Eightfold,San Marcos Regional Airport,4.4
