,Latitude,Longitude,Number of schools,Rating,Schools,Site Name
0,38.96,-77.42,20,3.4,Broad Run High School,Center for Innovation Technology
1,38.96,-77.42,20,4.2,Rock Ridge High School,Center for Innovation Technology
2,38.96,-77.42,20,3.2,Herndon High School,Center for Innovation Technology
3,38.96,-77.42,20,4.7,Loudoun School for the Gifted,Center for Innovation Technology
4,38.96,-77.42,20,4.6,Fairfax Christian School,Center for Innovation Technology
5,38.96,-77.42,20,3.7,National Association-Secondary School,Center for Innovation Technology
6,38.96,-77.42,20,4.3,Montessori School of Fairfax,Center for Innovation Technology
7,38.96,-77.42,20,4.7,Discovery Elementary School,Center for Innovation Technology
8,38.96,-77.42,20,3.8,Dranesville Elementary School,Center for Innovation Technology
9,38.96,-77.42,20,5.0,Kay School,Center for Innovation Technology
10,38.96,-77.42,20,5.0,Montessori School of South Riding,Center for Innovation Technology
11,38.96,-77.42,20,4.4,Chesterbrook Academy Elementary & Middle School,Center for Innovation Technology
12,38.96,-77.42,20,4.5,Potomac Swim School,Center for Innovation Technology
13,38.96,-77.42,20,3.3,Community Montessori School,Center for Innovation Technology
14,38.96,-77.42,20,4.6,Lopez Studios Inc. Performing Arts Preparatory School,Center for Innovation Technology
15,38.96,-77.42,20,5.0,The Madame Curie School,Center for Innovation Technology
16,38.96,-77.42,20,4.8,Newton School,Center for Innovation Technology
17,38.96,-77.42,20,5.0,Freedom Montessori School,Center for Innovation Technology
18,38.96,-77.42,20,2.3,Seneca Ridge Middle School,Center for Innovation Technology
19,38.96,-77.42,20,4.2,Forest Grove Elementary School,Center for Innovation Technology
20,38.84,-77.05,20,4.3,Georgetown University School of Continuing Studies,Crystal City and Potomac Yard
21,38.84,-77.05,20,4.4,Georgetown University School of Medicine,Crystal City and Potomac Yard
22,38.84,-77.05,20,4.7,Elliott School of International Affairs,Crystal City and Potomac Yard
23,38.84,-77.05,20,3.9,T.C. Williams High School,Crystal City and Potomac Yard
24,38.84,-77.05,20,4.0,West Potomac High School,Crystal City and Potomac Yard
25,38.84,-77.05,20,5.0,Bishop John T. Walker School for Boys,Crystal City and Potomac Yard
26,38.84,-77.05,20,3.4,Potomac High School,Crystal City and Potomac Yard
27,38.84,-77.05,20,4.6,Milken Institute School of Public Health,Crystal City and Potomac Yard
28,38.84,-77.05,20,,Healthy Schools Network,Crystal City and Potomac Yard
29,38.84,-77.05,20,4.7,The George Washington University School of Business,Crystal City and Potomac Yard
30,38.84,-77.05,20,4.6,George Mason University Antonin Scalia Law School,Crystal City and Potomac Yard
